"Year Code #
(based on 1st yr)","Model #
(randon)",Make,Model,1st Year of Production,Last Year of Production,Total # of Base Model Built,Highlights,
2,,Henry Ford, '999',1902,1902,1,"The ""999"" was a notable racing car designed and driven by Henry Ford. (* See note below)

The 999 was built by Henry Ford in collaboration with Barney Oldfield and Tom Cooper. It was designed to be a high-performance racing car to compete in events such as speed trials and competitions.

The car was constructed in 1902 in the shop of Henry Ford's Detroit Automobile Company. The design of the 999 was innovative for its time, featuring a lightweight chassis and a powerful engine.

The 999 was powered by a massive 18.9-liter (1150 cubic inches) inline-two-cylinder engine, which was considered enormous for the period. This engine was capable of producing around 70 horsepower, providing the car with impressive speed and performance.

The 999 achieved considerable success in racing events during its career. Its most famous victory came on October 25, 1902, when it set a new land-speed record of 91.37 mph (147.05 km/h) at the Grosse Pointe track near Detroit, Michigan. This record-breaking performance helped to establish Henry Ford's reputation as a skilled automotive engineer and racer.

The 999 played a significant role in popularizing automobile racing in the United States and helped to establish Henry Ford as a prominent figure in the automotive industry. The car's success also contributed to the development of the Ford Motor Company, which was founded shortly after the 999's racing achievements.

Overall, the 999 racing car was a groundbreaking vehicle that showcased Henry Ford's engineering prowess and played a vital role in the early days of American motorsport. Its record-breaking performance and racing success helped to establish Henry Ford's legacy as one of the most influential figures in automotive history.

* The number ""999"" on Henry Ford's racing car held significant meaning. It wasn't just a random number; instead, it symbolized the speed goal Ford aimed to achieve with the vehicle. The choice of ""999"" was inspired by a famous steam locomotive known as the New York Central No. 999, which set a speed record of 112.5 mph (181 km/h) in 1893. By naming his racing car ""999,"" Henry Ford aimed to surpass the speed record set by the locomotive, symbolizing his ambition and determination to push the boundaries of automotive performance.","open wheel, no body Brumm model with #999"
2,,Renault,Type K,1902,1906,unknown,"In 1903, Renault developed a notable racing car known as the Renault Type K.

The Renault Type K was designed specifically for racing purposes and was developed to compete in various motorsport events of the early 20th century.

The Type K featured a lightweight chassis and body constructed from aluminum or steel, depending on the specific model. It was powered by a robust inline-four engine, which was capable of producing impressive horsepower for its time.

The Renault Type K achieved considerable success in motorsport competitions of the era, including road races, track events, and hill climbs. It was renowned for its speed, agility, and reliability on the race track, making it a formidable competitor against other racing cars of the time.

The Renault Type K contributed to Renault's reputation as a manufacturer of high-performance racing cars. Its success on the race track helped to enhance the brand's visibility and credibility, showcasing Renault's engineering prowess and commitment to motorsport excellence.

Overall, the Renault Type K exemplifies Renault's early involvement in motorsport and its dedication to producing competitive racing cars. While specific details about individual Type K models and their racing achievements may vary, the car remains an important part of Renault's racing heritage and legacy.",
2,,Crossley Motors,"Tender
(15cwt)",1904,1914,"<50,000","The first generation of Crossley Motors trucks, including the 15cwt (hundredweight) models, played a significant role in the early development of commercial transportation in the early 20th century.

Crossley Motors began producing trucks shortly after it started automobile production in 1904. The 15cwt designation refers to the carrying capacity of the truck, which is approximately 750 kilograms or 1,650 pounds.

Crossley trucks of this era were typically designed with ruggedness and reliability in mind, essential qualities for commercial vehicles used in various industries such as delivery, agriculture, and construction. The first-generation trucks were often built with simple, robust engineering, featuring solid axles, leaf spring suspension, and durable chassis frames.

The 15cwt trucks were versatile vehicles, capable of transporting goods, materials, and equipment over short to medium distances. They were commonly used by small businesses, farms, and local delivery services for tasks such as transporting produce, livestock, and construction supplies.

Crossley trucks gained a reputation for quality and reliability, contributing to the company's success in the commercial vehicle market. Their trucks were well-regarded by customers for their performance and durability, helping to establish Crossley as a prominent manufacturer of commercial vehicles in the United Kingdom and beyond.

During World War I, Crossley's production shifted significantly towards military vehicles, including trucks. The 15cwt trucks, along with larger models, were used for various military purposes, such as transportation, supply logistics, and field ambulance conversions.

The first generation of Crossley Motors trucks, including the 15cwt models, left a lasting legacy in the history of commercial transportation. They played a crucial role in the early development of the automotive industry and helped pave the way for future advancements in truck design and technology.

Overall, the 15cwt Crossley trucks were emblematic of the era's commercial vehicles, combining practical utility with dependable performance to meet the transportation needs of businesses and industries during the early 20th century.",YesterYear black 'coal & coke' truck
3,,"Spyker
(Spijker)",12/16-HP Double Phaeton,1905,1907,"<1,000","Spyker or Spijker was a Dutch carriage, automobile and aircraft manufacturer, started in 1880 by blacksmiths Jacobus and Hendrik-Jan Spijker. Originally located in Hilversum, the company relocated to Trompenburg, Amsterdam in 1898.

The Spyker 12/16-HP Double Phaeton was a notable model produced by Spyker in 1905.

The 12/16-HP Double Phaeton was part of Spyker's lineup during the early 20th century. Spyker was known for its high-quality automobiles, and the 12/16-HP Double Phaeton was no exception.

As was typical of cars from that era, the Spyker 12/16-HP Double Phaeton featured a design characterized by its large, open body with seating for multiple passengers. The ""Double Phaeton"" designation indicated that the car had two rows of seats, providing ample space for occupants.

The 12/16-HP designation referred to the vehicle's engine specifications. It was powered by a 12 horsepower (HP) engine, which was capable of producing 16 horsepower under certain conditions. While these power figures may seem modest by today's standards, they were competitive for the time.

The Spyker 12/16-HP Double Phaeton offered respectable performance for its era. Its engine provided sufficient power for driving on the roads of the early 20th century, and its robust construction ensured durability and reliability.

Spyker was known for its innovative engineering, and the 12/16-HP Double Phaeton likely incorporated some advanced features for its time. While specific details may vary, Spyker vehicles of this era often boasted technological advancements such as advanced suspension systems and sturdy chassis construction.

The Spyker 12/16-HP Double Phaeton contributed to Spyker's reputation for building high-quality automobiles during the early 20th century. It was part of an era when automotive technology was rapidly evolving, and Spyker played a role in shaping the future of the automobile industry.

While many cars from the early 1900s have been lost to time, some examples of the Spyker 12/16-HP Double Phaeton may still exist today. These vehicles are often prized by collectors and automotive enthusiasts for their historical significance and craftsmanship.

Overall, the Spyker 12/16-HP Double Phaeton represented a significant model in Spyker's lineup during the early 20th century, showcasing the brand's commitment to quality, innovation, and performance in the automotive industry.;","off-yellow YesterYear open-top, double seat-row model that is one of my originals - spare tire on the very rear"
3,,Renault,Type AG (Truck),1906,1919,"<5,000","Renault, founded in 1899 by Louis Renault and his brothers Marcel and Fernand, initially focused on manufacturing automobiles. However, they also produced commercial vehicles including delivery trucks. In the early 1900s, Renault's production numbers for delivery trucks varied depending on the year and market demand. Exact production figures for delivery trucks specifically during that time period are not readily available, as historical records might be limited or incomplete.

Renault's early success in automobile manufacturing led them to expand their product line to include various types of vehicles, including trucks and vans. The company's output would have been influenced by factors such as technological advancements, economic conditions, and competition within the automotive industry.",
3,,Rolls Royce,Silver Ghost ('40/50'),1906,1926,"7,874","The Rolls-Royce Silver Ghost was introduced in 1906 as the successor to the Rolls-Royce 40/50 HP model. It was initially named the ""40/50"" and later earned the nickname ""Silver Ghost"" due to its silver body color and its exceptional quietness and smoothness while running.

The Silver Ghost was powered by a 7.4-liter inline-six engine, which was renowned for its reliability, refinement, and performance. The engine was designed by legendary engineer Henry Royce and featured advanced technology for the time, including a lightweight aluminum alloy crankcase and a pressurized lubrication system.

The Silver Ghost was built on a sturdy chassis constructed using high-quality materials and advanced engineering techniques. The chassis featured a ladder-type frame with rigid axles and leaf spring suspension, providing a comfortable and stable ride.

The design of the Rolls-Royce Silver Ghost was characterized by its elegant and timeless styling. It featured a long hood, a tall radiator grille adorned with the iconic Spirit of Ecstasy mascot, and luxurious interior appointments. The car exuded an aura of prestige and sophistication, making it highly desirable among the wealthy elite of the time.

The Rolls-Royce Silver Ghost quickly gained popularity among affluent buyers, including royalty, aristocrats, and celebrities. It was considered one of the finest automobiles of its time, known for its exceptional build quality, engineering excellence, and refined driving experience.

The Rolls-Royce Silver Ghost's reputation for reliability and quality was further solidified by a series of endurance tests conducted in 1907, where a Silver Ghost completed a non-stop drive of over 14,000 miles, earning it the nickname ""The Best Car in the World."" This accolade helped establish Rolls-Royce as the benchmark for luxury automobiles and contributed to the enduring legacy of the Silver Ghost.

The Silver Ghost was produced from 1906 to 1926, with various improvements and updates made over the years. During this time, Rolls-Royce manufactured just over 7,800 Silver Ghost chassis, which were then fitted with custom bodywork by coachbuilders to suit individual customer preferences including military applications",
3,,E.R. Thomas Motor Company,Flyabout,1907,<1915,unknown,"The Thomas Flyabout was an automobile produced by the E.R. Thomas Motor Company, an American manufacturer based in Buffalo, New York.

The E.R. Thomas Motor Company was established by Edwin Ross Thomas in 1900. Thomas had previously been involved in bicycle manufacturing before transitioning to automobiles.

The Thomas Flyabout was introduced in 1907. It was a sporty, lightweight car designed for performance and agility. The Flyabout was named for its ability to ""fly about"" the roads with speed and nimbleness.

The Flyabout was known for its advanced engineering and performance capabilities. It featured a powerful engine, lightweight construction, and a streamlined design. The car was equipped with a four-cylinder engine that produced impressive horsepower for its time, allowing it to achieve high speeds.

The Thomas Flyabout gained popularity among automotive enthusiasts and racing enthusiasts alike. It was renowned for its performance on the racetrack, where it achieved numerous victories and set records in various competitions.

The Thomas Flyabout contributed to the reputation of the E.R. Thomas Motor Company as a manufacturer of high-quality, high-performance automobiles. However, like many early automobile manufacturers, the company faced challenges due to changes in the industry, economic downturns, and increased competition.

Despite its initial success, the E.R. Thomas Motor Company struggled financially, and production of the Flyabout and other models ceased in the early 1910s. The company went through several reorganizations and ultimately closed its doors in 1919.

Overall, the Thomas Flyabout remains a notable example of early American automotive engineering and design, revered for its performance, agility, and racing pedigree. Today, surviving examples of the Thomas Flyabout are highly sought after by collectors and automotive enthusiasts for their historical significance and rarity.",
3,,Simplex Automotive Company,Model 50,1907,1917,unknown,"The Simplex Automobile Company was founded in New York City in 1907 by Herman Broesel, a wealthy businessman, and Henry Middlebrook, a mechanical engineer. Their goal was to produce high-quality luxury automobiles that would compete with the best European cars of the time.

The Simplex Model 50 was a significant luxury automobile produced by the Simplex Automobile Company from 1907 to 1917.

The Simplex Model 50 was introduced in 1907 as one of the premier offerings from the Simplex Automobile Company. It was designed to cater to the affluent clientele seeking high-performance and luxurious automobiles.

The Model 50 was renowned for its engineering excellence and superior craftsmanship. It was equipped with a powerful inline-six-cylinder engine, which provided ample performance for the era. The chassis was robustly built and designed to accommodate various body styles.

The Model 50 was available in several body styles, including touring cars, limousines, and landaulets. Customers could choose from a range of custom-built coachwork to suit their preferences, making each Model 50 unique.

The Model 50 was equipped with luxurious amenities, such as fine leather upholstery, polished wood trim, and advanced features for the time, including electric lighting and starting systems. The interior was spacious and comfortable, providing a refined driving experience.

Despite its luxurious character, the Simplex Model 50 also enjoyed success in motorsport competitions. It was renowned for its speed, reliability, and durability on the racetrack, and competed in prestigious events such as the Vanderbilt Cup races and the American Grand Prize.

Over the years of its production, the Simplex Model 50 underwent several updates and improvements to keep it competitive in the luxury automobile market. Changes were made to the engine, chassis, and bodywork to enhance performance, comfort, and style.

The Simplex Model 50's production came to an end in 1917 due to various factors, including financial difficulties faced by the Simplex Automobile Company and the impact of World War I. The company merged with the Crane Motor Car Company, forming Crane-Simplex, which continued to produce luxury automobiles under a new name.

The Simplex Model 50 left a lasting legacy in the automotive world as one of the finest luxury automobiles of its time. Its combination of performance, craftsmanship, and luxury set the standard for luxury cars in the early 20th century and remains highly sought after by collectors and enthusiasts today.

Overall, the Simplex Model 50 exemplified the pinnacle of automotive engineering and luxury during the golden age of motoring.",YesterYear model I've had since the beginning - has long dark brown canopy with one spare tire on right side
3,,Peugeot,Salon,1907,1910,unknown,"In 1907, at the Salon de l'Automobile in Paris, Peugeot released its first six-cylinder car, a salon. The Salon de l'Automobile, held annually in Paris, was one of the most prestigious automotive exhibitions of its time. In 1907, Peugeot used this platform to debut its first six-cylinder car, showcasing the company's engineering prowess and commitment to innovation.

The introduction of a six-cylinder engine represented a significant advancement in automotive technology. Compared to earlier engines with fewer cylinders, six-cylinder engines offered smoother operation, improved power delivery, and enhanced refinement, making them ideal for luxury and high-performance vehicles.

By 1910, Peugeot's product line included a 1,149 cc (70 cu in) two-cylinder and six four-cylinders, of between two and six liters. In addition, a new factory opened the same year at Sochaux, which became the main plant in 1928.

Peugeot's introduction of its first six-cylinder car would have generated significant interest and excitement among automotive enthusiasts and industry professionals. The company's reputation for engineering excellence and quality craftsmanship likely contributed to anticipation surrounding the new model.

The debut of its first six-cylinder car reinforced Peugeot's position as a leading automotive manufacturer, capable of producing vehicles that combined performance, comfort, and refinement. The introduction of the six-cylinder model expanded Peugeot's product lineup and appealed to a broader range of customers seeking higher-end automobiles.

 Peugeot's foray into six-cylinder engine technology in 1907 laid the foundation for future advancements and innovations in the company's lineup. Over the following decades, Peugeot would continue to refine and develop six-cylinder engines, incorporating them into various models to meet evolving market demands and technological advancements.

Overall, the unveiling of Peugeot's first six-cylinder car at the 1907 Paris Salon represented a significant achievement for the company and underscored its commitment to pushing the boundaries of automotive engineering and design.",gold colour metal roof YesterYear ('Peugeot 1907')
3,,Unic,1907 Taxi,1907,1932,unknown,"The 1907 Unic Taxi holds a significant place in automotive history, particularly in the context of early commercial transportation in France (i.e. one of the earliest examples of commercial taxis, particularly in France).

Unic, a French automobile manufacturer, was founded in 1905 by Georges Richard. Initially, the company focused on producing luxury cars, but it soon diversified its offerings to include commercial vehicles, such as taxis and delivery vans. Unic was founded by Georges Richard after he left Richard-Brasier. In 1905 Richard had a meeting with the entrepreneur-financier Baron Henri de Rothschild and obtained funding for the creation of the ""société anonyme des automobiles Unic"", based at Puteaux.[2] The objective was to manufacture ""unique"" (rather than mainstream) vehicles, and at the start the company made only light cars and taxis with two-cylinder and four-cylinder engines.

The taxi business would remain important to Unic for more than three decades, while Rothschild's steady financial support through good times and bad, provided stability which sustained the business, critically during the immediate post-war years.

The 1907 Unic Taxi was introduced as part of Unic's efforts to meet the growing demand for urban transportation services, particularly taxis. During the early 20th century, cities across Europe experienced rapid urbanization, leading to increased demand for public transportation.

The 1907 Unic Taxi likely featured a robust chassis, solid axles with leaf spring suspension, and a reliable engine. It would have been designed to withstand the rigors of urban driving and frequent use typical of taxi service.

The 1907 Unic Taxi played a crucial role in providing convenient and reliable transportation services to city dwellers. Its spacious interior, comfortable seating, and sturdy construction made it a popular choice among taxi operators and passengers alike.

Over the years, Unic continued to refine its taxi offerings, introducing newer models with improved features and capabilities. While specific details about the evolution of Unic taxis in the early 20th century may be limited, it's likely that subsequent models benefited from advancements in automotive technology and design.

The 1907 Unic Taxi is emblematic of the era when taxis became an essential part of urban transportation systems. It reflects the rapid growth of cities and the increasing need for efficient and reliable public transportation options.

The 1907 Unic Taxi holds a special place in automotive history as one of the early examples of commercial vehicles designed specifically for urban transportation services. Its introduction marked a significant milestone in the evolution of taxis and their role in shaping urban mobility. While specific details about this particular model may be limited, its significance lies in its contribution to the development of public transportation in the early 20th century.

After 1938 Unic concentrated in the truck business, being one of the leading French makes. In 1966 it was taken over by the Italian company Fiat and eventually merged into Iveco in 1975.",red body with black plastic roof and partially rear sides YesterYear taxi
